       0,2  0,599015 0,0733258   0,14356
      0,45  0,601485 0,0774418 -0,162015
       0,7   0,59929 0,0774418 0,0481894
      0,95  0,599838 0,0750027 0,0718183
      1,15  0,599015  0,072716  0,181494
       1,4  0,602308 0,0731733 -0,160744
      1,65  0,599564 0,0682951 0,0744437
       1,9  0,600662 0,0748502 0,0970563
       2,1  0,599015 0,0733258  0,183526
      2,35  0,602857 0,0696671 -0,166927
       2,6   0,60121 0,0556422 -0,023883
      2,85  0,599015 0,0711916 0,0729193
       3,1  0,603131 0,0812529 -0,235611
       3,3  0,603131    0,0686 -0,187591
      3,55  0,600662 0,0678378 0,0726652
       3,8   0,59929 0,0736307   0,13322
      4,05  0,600662 0,0839969-0,0719877
      4,25  0,603406 0,0670756 -0,216556
       4,5  0,600113 0,0673804  0,127037
      4,75  0,599564 0,0757649  0,121278
         5  0,602034 0,0777467-0,0691928
       5,2  0,603406  0,064484 -0,234764
      5,45  0,599838 0,0667707    0,1455
       5,7  0,600113 0,0788138-0,00550494
      5,95  0,600113 0,0682951 0,0338765
       6,2  0,600113  0,065856  0,121024
       6,4  0,599838 0,0623498   0,17548
      6,65  0,602308 0,0721062 -0,101884
       6,9  0,599564 0,0661609  0,105271
       7,1  0,602582  0,053508 -0,258986
      7,35  0,599838 0,0596058  0,193181
       7,6  0,602857 0,0641791 -0,138047
       7,9  0,602857 0,0632644  -0,30057
      8,05  0,602582 0,0690573    -0,317
      8,35  0,603131 0,0695147 -0,189031
      8,55  0,602857 0,0621973  -0,13432
       8,8  0,600936 0,0615876 0,0564044
         9  0,602857 0,0681427 -0,281175
       9,3   0,60121 0,0728684-0,0631798
       9,5  0,603131  0,060368 -0,177174
      9,75  0,600662 0,0623498 0,0750365
        10  0,599838 0,0652462 0,0967175
     10,25  0,600662  0,0644848,46914e-05
      10,5  0,599838 0,0580813  0,160236
      10,7  0,600662 0,0615876 0,0957012
     10,95  0,599838 0,0634169 0,0713948
      11,2  0,600113  0,064484 0,0254074
     11,45  0,600113 0,0577764  0,127799
     11,65  0,600113 0,0557947   0,12348
      11,9  0,600113 0,0650938 0,0224432
     12,15  0,599564  0,060368  0,015922
      12,4  0,600387 0,0519836 0,0376877
     12,65  0,603406 0,0554898 -0,198686
     12,85  0,602308 0,0573191-0,0928217
     13,15  0,602582 0,0609778 -0,285071
      13,3  0,602308 0,0625022 -0,232647
      13,6  0,602857 0,0550324 -0,179884
      13,8  0,602582 0,0553373 -0,131018
     14,05  0,599015 0,0547276  0,151259
      14,3   0,59929 0,0516787  0,142451
      14,5  0,599564  0,053508  0,164725
      14,8  0,599564 0,0527458  0,195891
        15  0,600936 0,0527458-0,0275247
     15,25   0,59929 0,0538129 0,0874015
      15,5  0,602582 0,0628071 -0,137708
     15,75  0,599564 0,0525933  0,189709
     15,95  0,600387 0,0544227 0,0802027
      16,2  0,599564 0,0582338 0,0835057
     16,45  0,599838 0,0579289 0,0525933
      16,7  0,599838 0,0541178  0,145415
      16,9  0,600113 0,0501542  0,129578
     17,15  0,601759 0,0532031-0,0668215
     17,45  0,602857 0,0556422 -0,256361
     17,65  0,600113  0,050764  0,112724
     17,85  0,600387 0,0525933  0,141689
     18,15  0,599564 0,0568618  0,191657
     18,35  0,599564 0,0539653 0,0679225
      18,6   0,60121 0,0471053-0,0203259
     18,85  0,603406 0,0504591  -0,16879
      19,1  0,599838 0,0483249   0,16049
      19,3  0,599838 0,0586911 0,0912973
     19,55  0,599564 0,0586911  0,108066
     19,75  0,600113 0,0477151  0,132627
        20  0,603131 0,0475627 -0,155493
     20,25  0,599564 0,0547276  0,102392
      20,5  0,599564 0,0510689 0,0622481
      20,7  0,599564 0,0571667  0,175057
     20,95  0,602857 0,0484773 -0,151936
      21,2  0,600662 0,0445138-0,000169383
     21,45   0,59929 0,0487822 0,0330296
      21,7  0,599838 0,0625022 0,0088079
      21,9  0,602857 0,0475627 -0,191402
     22,15  0,600387 0,04558090,00965481
      22,4   0,59929 0,04878220,00965481
     22,65  0,599838 0,0486298-0,0290491
      22,9  0,600387  0,0439040,00796099
      23,1  0,600113 0,0437516 0,0597921
     23,35  0,600113 0,0577764-0,0866393
      23,6  0,599564 0,0579289-0,0311664
     23,85  0,600662 0,04573330,00804568
     24,05  0,600113 0,0432942  0,129747
      24,3  0,600387  0,060368-0,0529321
     24,55   0,59929 0,0568618-0,0049121
      24,8  0,600936 0,05137380,00110099
     25,05  0,602308 0,0445138 -0,125089
      25,3   0,59929 0,0524409   0,19496
      25,5  0,598741 0,0519836 0,0920595
     25,75  0,599015 0,0533556 0,0711407
     25,95  0,599564 0,0528982  0,190556
      26,2  0,602582 0,0437516 -0,137708
     26,45  0,600662 0,0525933 0,0223585
      26,7   0,59929 0,0443613 0,0373489
     26,95  0,600387 0,0570142-0,0385346
      27,2  0,600387 0,0422271  0,128985
      27,4  0,600936   0,04116-0,0182086
     27,65  0,599838 0,0468004-0,00770691
      27,9  0,600113 0,05670930,00330296
     28,15  0,600662  0,043904  0,102731
     28,35  0,600662 0,0391782 0,0165148
      28,6  0,600113 0,0437516-0,0168536
     28,85  0,600113  0,053508-0,0418375
      29,1  0,600936 0,0410076 0,0240523
     29,35  0,603131 0,0428369 -0,167858
     29,55  0,600387 0,0553373-0,0108405
      29,8  0,599564 0,0454284 0,0408212
     30,05   0,60121 0,0375013-0,0284563
      30,3  0,602857 0,0432942 -0,127037
      30,5  0,600662 0,0455809 -0,081219
     30,75  0,599838 0,0461907 0,0359091
        31   0,59929 0,0375013  0,057082
     31,25  0,602582 0,0416173 -0,102731
      31,5  0,600113 0,0553373  0,107304
      31,7   0,59929 0,0538129 0,0275247
     31,95  0,599564 0,05045910,00999358
     32,15  0,600113  0,049392  0,116789
     32,45  0,600113 0,0408551 0,0985807
     32,65  0,599015 0,0474102  0,120008
      32,9  0,599564  0,043904 0,0265084
     33,15  0,600113 0,0428369-0,0453946
     33,35  0,602857 0,0378062 -0,155239
      33,6  0,600662 0,0332329 0,0119415
     33,85  0,599564  0,042532 0,0102477
      34,1  0,599564 0,0539653 0,0399743
     34,35  0,600387 0,0381111  0,101121
     34,55  0,600387 0,0393307  0,116112
      34,8  0,599838 0,0516787 0,0131272
     35,05  0,599838 0,0518311 0,0154138
      35,3   0,60121 0,0375013  0,033199
      35,5  0,600662 0,0368916  0,117721
     35,75  0,600662  0,039788-0,0543719
        36  0,599564 0,0367391  0,058183
     36,25   0,59929 0,0364342 0,0619941
     36,45  0,600387 0,0344524  0,113148
     36,75  0,600113 0,0501542  0,099343
     36,95   0,59929 0,0403978  0,065297
      37,2   0,59929 0,0341476 0,0635185
     37,45  0,602308 0,0336902-0,0781701
      37,7  0,600387 0,0368916 0,0486128
      37,9   0,59929 0,0455809   0,10976
     38,15  0,599838 0,0353671 0,0165148
      38,4  0,602582 0,0381111-0,0903657
      38,6  0,603406 0,0359769 -0,115434
     38,85  0,601485 0,0338427-0,0121109
      39,1  0,600662 0,0358244-0,0049121
     39,35  0,600662   0,04116-0,0348081
      39,6   0,60121 0,0338427  0,091636
      39,8   0,60121 0,0350622 0,0488669
     40,05  0,600387 0,0445138-0,0345541
      40,3  0,600113 0,0460382-0,00669062
     40,55   0,60121 0,0361293 0,0384499
     40,75  0,600662  0,032928 0,0967175
        41  0,600113 0,04786760,00279481
     41,25  0,599564 0,0457333 0,0416681
      41,5   0,60121 0,0353671 0,0248146
     41,75  0,602308    0,0343 -0,101714
     41,95  0,600662 0,0388733-0,0690235
      42,2   0,59929 0,0362818 0,0539484
     42,45   0,59929  0,028812  0,058183
      42,7  0,602034 0,0341476-0,0642807
     42,95  0,600662 0,0318609 0,0645348
      43,2  0,601759 0,0250009 -0,128561
     43,35  0,602034 0,0217996 -0,116197
     43,65  0,602308 0,0335378-0,0533556
     43,85  0,602857 0,0314036 -0,122464
     44,15  0,601759 0,0239338-0,0857923
     44,35  0,600113 0,0339951-0,00601309
      44,6  0,600387 0,0361293-0,0283716
     44,85   0,60121 0,0323182 0,0686847
      45,1   0,60121  0,024696-0,0368407
      45,3  0,600113 0,0352147-0,0195637
     45,55  0,600113 0,0457333 0,0342153
      45,8   0,60121 0,0333853 0,0846067
     46,05  0,602857 0,0317084  -0,12204
     46,25  0,600113 0,0454284 0,0287951
      46,5  0,600113 0,0483249 0,0542872
     46,75  0,601759 0,0310987 0,0568279
     46,95  0,601485 0,0323182 0,0884178
      47,2  0,600662 0,0341476-0,0368407
     47,45  0,600387 0,0483249 0,0777467
      47,7  0,602308 0,0324707 0,0116874
      47,9  0,601485 0,0310987  0,109421
     48,15   0,60121 0,0347573 -0,078763
      48,4  0,600113 0,0330804 0,0841832
     48,65  0,600387 0,0286596 0,0425151
      48,9  0,602857 0,0292693 -0,052424
     49,15  0,601485 0,0442089 0,0558116
     49,35  0,600113 0,0304889 0,0588605
     49,55  0,602582 0,0216471 -0,148379
     49,85  0,602857 0,0324707-0,0827435
     50,05  0,603406 0,0295742  -0,10849
      50,3  0,601759 0,0182933 0,0123649
     50,55  0,600387 0,0292693 0,0217657
      50,8  0,600387 0,0346049-0,00279481
     51,05   0,60121 0,0321658  0,010163
     51,25   0,60121 0,0324707 0,0829128
      51,5  0,600387 0,0307938 0,0155832
     51,75  0,600387 0,0432942 0,0153291
        52  0,601485 0,0314036 0,0492057
      52,2   0,60121 0,0283547 0,0863852
     52,45  0,600387 0,04314180,000169383
     52,75  0,601759 0,0388733 -0,129832
     52,95  0,601759 0,0303364 0,0149904
      53,2  0,602582 0,0275924 -0,104594
      53,4  0,600387 0,0437516 -0,015922
      53,7  0,601485 0,0394831 -0,144314
     53,85  0,601485 0,0259156  -0,10849
     54,15  0,602582 0,0269827-0,0638573
